RUN_KEY: v1.2.0_params:Decoderparameters+Encoderparameters_withoutFlipTrans_smallDB_batch_size:10_vocabThr:4_embedSize:512_hiddenSize:1024_totEpochs:3
[19.12s] Epoch [1/3], Step [1000/12423], Loss: 2.9306, Perplexity: 18.7393

[18.53s] Epoch [1/3], Step [2000/12423], Loss: 3.0864, Perplexity: 21.8982

[18.35s] Epoch [1/3], Step [3000/12423], Loss: 2.9881, Perplexity: 19.8483

[18.28s] Epoch [1/3], Step [4000/12423], Loss: 2.6908, Perplexity: 14.7441

[18.09s] Epoch [1/3], Step [5000/12423], Loss: 2.4519, Perplexity: 11.6102

[17.96s] Epoch [1/3], Step [6000/12423], Loss: 2.7685, Perplexity: 15.9351

[18.33s] Epoch [1/3], Step [7000/12423], Loss: 2.6295, Perplexity: 13.8675

[18.18s] Epoch [1/3], Step [8000/12423], Loss: 2.7400, Perplexity: 15.4877

[17.71s] Epoch [1/3], Step [9000/12423], Loss: 2.0764, Perplexity: 7.9757

[17.71s] Epoch [1/3], Step [10000/12423], Loss: 2.5498, Perplexity: 12.8048

[17.80s] Epoch [1/3], Step [11000/12423], Loss: 2.3459, Perplexity: 10.4429

[17.80s] Epoch [1/3], Step [12000/12423], Loss: 2.2997, Perplexity: 9.9709

[18.57s] Epoch [2/3], Step [1000/12423], Loss: 2.6634, Perplexity: 14.3456

[18.13s] Epoch [2/3], Step [2000/12423], Loss: 2.0574, Perplexity: 7.8252

[18.21s] Epoch [2/3], Step [3000/12423], Loss: 1.9353, Perplexity: 6.9263

[17.78s] Epoch [2/3], Step [4000/12423], Loss: 2.3990, Perplexity: 11.0126

[17.69s] Epoch [2/3], Step [5000/12423], Loss: 2.2974, Perplexity: 9.9484

[17.63s] Epoch [2/3], Step [6000/12423], Loss: 2.9764, Perplexity: 19.6170

[18.30s] Epoch [2/3], Step [7000/12423], Loss: 2.0994, Perplexity: 8.1616

[17.93s] Epoch [2/3], Step [8000/12423], Loss: 2.7967, Perplexity: 16.3898

[17.86s] Epoch [2/3], Step [9000/12423], Loss: 2.2943, Perplexity: 9.9174

[17.73s] Epoch [2/3], Step [10000/12423], Loss: 2.5649, Perplexity: 12.9995

[17.88s] Epoch [2/3], Step [11000/12423], Loss: 2.2187, Perplexity: 9.1956

[17.71s] Epoch [2/3], Step [12000/12423], Loss: 2.4669, Perplexity: 11.7860

[18.63s] Epoch [3/3], Step [1000/12423], Loss: 2.3936, Perplexity: 10.9526

[18.02s] Epoch [3/3], Step [2000/12423], Loss: 2.2853, Perplexity: 9.8288

[18.03s] Epoch [3/3], Step [3000/12423], Loss: 2.2133, Perplexity: 9.1456

[17.75s] Epoch [3/3], Step [4000/12423], Loss: 2.4515, Perplexity: 11.6053

[17.91s] Epoch [3/3], Step [5000/12423], Loss: 2.0761, Perplexity: 7.9734

[17.59s] Epoch [3/3], Step [6000/12423], Loss: 2.0441, Perplexity: 7.7220

[17.55s] Epoch [3/3], Step [7000/12423], Loss: 2.3462, Perplexity: 10.4457

[17.70s] Epoch [3/3], Step [8000/12423], Loss: 2.0551, Perplexity: 7.8080

[17.61s] Epoch [3/3], Step [9000/12423], Loss: 1.7159, Perplexity: 5.5615

[17.58s] Epoch [3/3], Step [10000/12423], Loss: 2.7046, Perplexity: 14.9489

[17.78s] Epoch [3/3], Step [11000/12423], Loss: 2.8809, Perplexity: 17.8302

[17.63s] Epoch [3/3], Step [12000/12423], Loss: 1.8902, Perplexity: 6.6206

