RUN_KEY: v2.0.0_params:Decoder_withoutFlipTrans_batch_size:10_vocabThr:4_embedSize:512_hiddenSize:1024_totEpochs:10
[34.72s] Epoch [1/10], Step [1000/41412], Loss: 4.4161, Perplexity: 82.7740

[34.52s] Epoch [1/10], Step [2000/41412], Loss: 3.9476, Perplexity: 51.8120

[34.43s] Epoch [1/10], Step [3000/41412], Loss: 4.0527, Perplexity: 57.5504

[34.07s] Epoch [1/10], Step [4000/41412], Loss: 3.8966, Perplexity: 49.2371

[34.13s] Epoch [1/10], Step [5000/41412], Loss: 4.3472, Perplexity: 77.2597

[34.31s] Epoch [1/10], Step [6000/41412], Loss: 3.6066, Perplexity: 36.8419

[34.22s] Epoch [1/10], Step [7000/41412], Loss: 4.4088, Perplexity: 82.1739

[33.77s] Epoch [1/10], Step [8000/41412], Loss: 3.8242, Perplexity: 45.7963

[33.90s] Epoch [1/10], Step [9000/41412], Loss: 4.0739, Perplexity: 58.7852

[34.14s] Epoch [1/10], Step [10000/41412], Loss: 3.5987, Perplexity: 36.5522

[34.28s] Epoch [1/10], Step [11000/41412], Loss: 3.7011, Perplexity: 40.4934

[33.98s] Epoch [1/10], Step [12000/41412], Loss: 3.8234, Perplexity: 45.7597

[33.70s] Epoch [1/10], Step [13000/41412], Loss: 4.6071, Perplexity: 100.1890

[33.74s] Epoch [1/10], Step [14000/41412], Loss: 3.7171, Perplexity: 41.1463

[33.96s] Epoch [1/10], Step [15000/41412], Loss: 4.4720, Perplexity: 87.5309

[33.62s] Epoch [1/10], Step [16000/41412], Loss: 3.6912, Perplexity: 40.0928

[33.81s] Epoch [1/10], Step [17000/41412], Loss: 3.8142, Perplexity: 45.3418

[33.97s] Epoch [1/10], Step [18000/41412], Loss: 3.2529, Perplexity: 25.8656

[33.87s] Epoch [1/10], Step [19000/41412], Loss: 3.2774, Perplexity: 26.5061

[33.78s] Epoch [1/10], Step [20000/41412], Loss: 3.5693, Perplexity: 35.4920

[33.60s] Epoch [1/10], Step [21000/41412], Loss: 3.9876, Perplexity: 53.9280

[34.04s] Epoch [1/10], Step [22000/41412], Loss: 4.4251, Perplexity: 83.5230

[33.71s] Epoch [1/10], Step [23000/41412], Loss: 3.6794, Perplexity: 39.6230

[33.91s] Epoch [1/10], Step [24000/41412], Loss: 3.0240, Perplexity: 20.5737

[33.77s] Epoch [1/10], Step [25000/41412], Loss: 4.0423, Perplexity: 56.9580

[33.91s] Epoch [1/10], Step [26000/41412], Loss: 2.9340, Perplexity: 18.8034

[33.91s] Epoch [1/10], Step [27000/41412], Loss: 3.6166, Perplexity: 37.2109

[34.01s] Epoch [1/10], Step [28000/41412], Loss: 4.2025, Perplexity: 66.8509

[34.05s] Epoch [1/10], Step [29000/41412], Loss: 4.9674, Perplexity: 143.6600

[34.04s] Epoch [1/10], Step [30000/41412], Loss: 3.3698, Perplexity: 29.0725

[33.86s] Epoch [1/10], Step [31000/41412], Loss: 3.3311, Perplexity: 27.9704

[33.89s] Epoch [1/10], Step [32000/41412], Loss: 3.1243, Perplexity: 22.7438

[33.72s] Epoch [1/10], Step [33000/41412], Loss: 4.2198, Perplexity: 68.0212

[33.91s] Epoch [1/10], Step [34000/41412], Loss: 3.9007, Perplexity: 49.4390

[33.74s] Epoch [1/10], Step [35000/41412], Loss: 3.2594, Perplexity: 26.0346

[33.94s] Epoch [1/10], Step [36000/41412], Loss: 2.8932, Perplexity: 18.0517

[33.60s] Epoch [1/10], Step [37000/41412], Loss: 3.2632, Perplexity: 26.1329

[34.13s] Epoch [1/10], Step [38000/41412], Loss: 2.9034, Perplexity: 18.2362

[33.84s] Epoch [1/10], Step [39000/41412], Loss: 3.7289, Perplexity: 41.6320

[33.77s] Epoch [1/10], Step [40000/41412], Loss: 3.8837, Perplexity: 48.6045

[33.83s] Epoch [1/10], Step [41000/41412], Loss: 4.6236, Perplexity: 101.8570

[34.59s] Epoch [2/10], Step [1000/41412], Loss: 3.1413, Perplexity: 23.1344

[34.04s] Epoch [2/10], Step [2000/41412], Loss: 4.0358, Perplexity: 56.5889

[33.94s] Epoch [2/10], Step [3000/41412], Loss: 3.7763, Perplexity: 43.6533

[33.69s] Epoch [2/10], Step [4000/41412], Loss: 2.8356, Perplexity: 17.0411

[33.69s] Epoch [2/10], Step [5000/41412], Loss: 3.9140, Perplexity: 50.0996

[33.80s] Epoch [2/10], Step [6000/41412], Loss: 3.6238, Perplexity: 37.4788

[34.47s] Epoch [2/10], Step [7000/41412], Loss: 3.7387, Perplexity: 42.0428

[33.62s] Epoch [2/10], Step [8000/41412], Loss: 3.3581, Perplexity: 28.7359

[34.15s] Epoch [2/10], Step [9000/41412], Loss: 3.2729, Perplexity: 26.3884

[34.16s] Epoch [2/10], Step [10000/41412], Loss: 3.2445, Perplexity: 25.6484

[34.42s] Epoch [2/10], Step [11000/41412], Loss: 3.1195, Perplexity: 22.6360

[33.88s] Epoch [2/10], Step [12000/41412], Loss: 2.8757, Perplexity: 17.7374

[33.78s] Epoch [2/10], Step [13000/41412], Loss: 3.3356, Perplexity: 28.0942

[33.72s] Epoch [2/10], Step [14000/41412], Loss: 3.7316, Perplexity: 41.7449

[34.01s] Epoch [2/10], Step [15000/41412], Loss: 3.8925, Perplexity: 49.0338

[34.05s] Epoch [2/10], Step [16000/41412], Loss: 3.2905, Perplexity: 26.8576

[33.83s] Epoch [2/10], Step [17000/41412], Loss: 2.5336, Perplexity: 12.5982

[33.91s] Epoch [2/10], Step [18000/41412], Loss: 3.4984, Perplexity: 33.0641

[33.67s] Epoch [2/10], Step [19000/41412], Loss: 3.8641, Perplexity: 47.6591

[33.73s] Epoch [2/10], Step [20000/41412], Loss: 3.8059, Perplexity: 44.9644

[33.58s] Epoch [2/10], Step [21000/41412], Loss: 2.8472, Perplexity: 17.2387

[33.90s] Epoch [2/10], Step [22000/41412], Loss: 3.3063, Perplexity: 27.2840

[34.60s] Epoch [2/10], Step [23000/41412], Loss: 3.7396, Perplexity: 42.0821

